"NOMBRE DE LA INSTALACIÓN",FUENTE,TIPO,"FECHA DE DOCUMENTACIÓN","ESTADO ACTUAL","FECHA DE CONSTRUCCIÓN"
"PLATAFORMA DE PERFORACION BALAM-TD",CONTRATISTA,"PLATAFORMA DE PERFORACION (TETRAPODO)",2017/10/06,OPERANDO,1993/09/06
"PLATAFORMA DE PERFORACION BALAM-TE",CONTRATISTA,"PLATAFORMA DE PERFORACION (TETRAPODO)",2017/10/06,OPERANDO,1993/09/15
"PLATAFORMA DE PERFORACION EK-TA",CONTRATISTA,"PLATAFORMA DE PERFORACION (TRIPODE)",2017/10/06,OPERANDO,1993/08/26
"PLATAFORMA DE PERFORACION EK-A",CONTRATISTA,"PLATAFORMA DE PERFORACION (OCTAPODO)",2017/10/06,OPERANDO,1988/06/06
"PLATAFORMA DE PERFORACION BALAM-1",CONTRATISTA,"PLATAFORMA DE PERFORACION (SEA HORSE)",2017/10/06,OPERANDO,1992/05/26
"PLATAFORMA DE PERFORACION BALAM-TA",CONTRATISTA,"PLATAFORMA DE PERFORACION (TRIPODE)",2017/10/06,OPERANDO,1993/10/02
"PLATAFORMA DE PERFORACION BALAM-TB",CONTRATISTA,"PLATAFORMA DE PERFORACION (TETRAPODO)",2017/10/06,OPERANDO,1993/08/26
"PLATAFORMA DE PERFORACION BALAM-TC",CONTRATISTA,"PLATAFORMA DE PERFORACION (SEA PONY)",2017/10/06,"FUERA DE OPERACION DEFINITIVA",1993/12/08
"PLATAFORMA DE PERFORACION EK-TB",CONTRATISTA,"PLATAFORMA DE PERFORACION (TRIPODE)",2017/10/06,"FUERA DE OPERACION TEMPORAL",1993/10/30
"BATERIA DE SEPARACION GIRALDAS",CONTRATISTA,"BATERIA DE SEPARACION",2018/09/25,OPERANDO,
"ESTACION DE COMPRESION MUSPAC",CONTRATISTA,"ESTACION DE COMPRESION",2018/09/25,OPERANDO,
"ESTACION DE COMPRESION CINCO PRESIDENTES 1",CONTRATISTA,"ESTACION DE COMPRESION",2018/09/25,OPERANDO,
"PLANTA DE INYECCION DE AGUA CINCO PRESIDENTES",CONTRATISTA,"PLANTA DE INYECCION DE AGUA",2018/09/25,OPERANDO,
"BATERIA DE SEPARACION OTATES",CONTRATISTA,"BATERIA DE SEPARACION",2018/06/29,OPERANDO,
"ESTACION DE COMPRESION OTATES",CONTRATISTA,"ESTACION DE COMPRESION",2018/06/29,"FUERA DE OPERACION DEFINITIVA",
"ESTACION DE COMPRESION SAN RAMON",CONTRATISTA,"ESTACION DE COMPRESION",2018/06/29,OPERANDO,
"BATERIA DE SEPARACION SANCHEZ MAGALLANES 1",CONTRATISTA,"BATERIA DE SEPARACION",2018/06/29,OPERANDO,
"BATERIA DE SEPARACION SANCHEZ MAGALLANES 7",CONTRATISTA,"BATERIA DE SEPARACION",2018/06/29,OPERANDO,
"ESTACION DE COMPRESION SANCHEZ MAGALLANES",CONTRATISTA,"ESTACION DE COMPRESION",2018/06/29,OPERANDO,
"BATERIA DE SEPARACION LACAMANGO",CONTRATISTA,"BATERIA DE SEPARACION",2019/10/22,OPERANDO,
