CVEGEO,CARR-KM,LINCARR,RED-KM,LINRED,AREAKM ,DENSCARR,DENSRED,Num_thefts,_merge
10007,360.9509191,661,232.8354936,2412,842.41,0.428474162,0.276392129,11,both
10008,146.762722,105,34.14694118,383,1317.11,0.11142784,0.025925656,0,left_only
10009,86.40884209,61,220.2749091,173,5485.57,0.015752026,0.040155336,0,left_only
10010,225.1542534,111,19.24196736,172,4689.61,0.048011296,0.004103106,0,left_only
10011,128.4490712,101,95.90353026,252,2505.12,0.051274618,0.038283009,0,left_only
10012,310.1191545,417,122.7797015,1529,2147.71,0.144395265,0.057167728,0,left_only
10013,357.7504755,154,81.23823436,390,7730.11,0.046280127,0.010509324,6,both
10014,379.4708843,142,476.0156763,368,8373.42,0.045318506,0.056848418,0,left_only
10015,89.0837881,57,27.83654195,190,2387.47,0.03731305,0.011659431,0,left_only
10016,119.6397483,141,53.71033505,280,1185.88,0.100886893,0.045291543,0,left_only
10017,89.55404298,123,220.0234592,470,3643.97,0.024575955,0.060380151,0,left_only
10018,67.35525292,28,182.3129174,356,3530.05,0.019080538,0.051645987,0,left_only
10019,25.35921068,10,168.0000284,92,1709.9,0.014830815,0.098251376,0,left_only
10020,130.3909588,100,47.20654271,220,1026.19,0.127063174,0.046001757,0,left_only
10021,132.9874781,75,111.5312985,292,1683.61,0.07898948,0.066245329,0,left_only
10022,77.6603995,146,12.4894813,265,1127.47,0.068880236,0.01107744,0,left_only
10023,245.4084017,298,483.8154322,675,6944.33,0.035339392,0.06967057,0,left_only
10024,110.2549605,177,56.92334021,323,1432.93,0.076943717,0.039725137,0,left_only
10025,20.09966586,18,59.51126947,111,2307.19,0.008711751,0.025793831,0,left_only
10026,99.72257532,19,490.0184156,274,5483.25,0.018186764,0.089366419,0,left_only
10027,28.04820434,17,134.4407826,143,2409.66,0.011639901,0.055792428,0,left_only
10028,124.5459085,142,87.01830129,377,1399.44,0.088996962,0.062180802,0,left_only
10029,25.27926416,17,7.26401305,70,604.76,0.04180049,0.012011398,0,left_only
10030,71.52677485,14,39.36141504,75,1796.95,0.039804544,0.021904569,0,left_only
10031,66.34786693,25,49.11463513,112,985.28,0.067339098,0.049848404,0,left_only
10032,248.6179711,208,399.5950137,791,6402.87,0.038829146,0.062408734,0,left_only
10033,16.74825036,8,125.4827405,108,1468.3,0.011406559,0.085461241,0,left_only
10034,40.41902395,29,309.2766303,217,5800.7,0.006967956,0.053317122,0,left_only
10035,180.5983068,135,19.14296106,270,6069.16,0.029756722,0.003154137,0,left_only
10036,315.0788916,174,49.11890062,430,4741.56,0.06645047,0.010359228,5,both
10037,5.8624518,4,142.1186504,140,1627.65,0.003601789,0.08731524,0,left_only
10038,52.76728766,59,19.411813,288,369.71,0.142726157,0.052505512,0,left_only
10039,92.68417127,105,181.2091376,477,1851.65,0.050054908,0.097863601,0,left_only
11001,237.430142,421,127.5243865,879,615.31,0.385870768,0.207252257,18,both
11002,207.0483377,335,272.1016605,1402,877.75,0.235885318,0.309999044,0,left_only
11003,241.6056412,278,515.2981433,1360,1553.82,0.155491396,0.3316331,0,left_only
11004,146.6257058,346,136.7013939,893,373.87,0.392183662,0.365638842,79,both
11005,168.5815767,278,194.9166851,1121,420.41,0.400993261,0.46363475,9,both
11006,32.12462351,22,141.4540399,107,314.07,0.102284916,0.450390167,0,left_only
11007,280.8366033,688,438.4301736,3332,553.06,0.507786865,0.792735279,59,both
11008,142.0560526,151,220.0390587,559,819.84,0.173272898,0.268392685,0,left_only
11009,95.03962025,197,182.0592747,907,488.66,0.19449028,0.372568401,0,left_only
11010,68.98447647,129,33.05979706,340,123.8,0.557225173,0.267041979,0,left_only
11011,93.14654096,185,54.7656049,482,335.21,0.277875186,0.163377002,49,both
11012,51.02877688,69,56.29511216,291,260.32,0.196023267,0.216253504,2,both
11013,60.05717802,89,107.7218365,324,230.81,0.260201802,0.466712172,0,left_only
11014,237.0470026,308,602.3035547,1286,1655.73,0.143167668,0.363769186,0,left_only
11015,188.9610515,649,402.4068898,1979,1014.13,0.186328234,0.396800104,28,both
