CLAVEGEO,"UBICACIÓN TÉCNICA",DENOMINACIÓN,SERVICIO,"ÊLTIMO ESTADO REPORTADO",ORIGEN,DESTINO,"DIÁMETRO EXTERNO (PLG) ","TIPO DE TUBERÍA","TIPO DE HIDROCARBURO","LONGITUD (KM)"
CGD0000199,PEP-SDC-GSO-CPL-S30-OLG-D0258,"OLG KAB 101/ ENLACE 10"" X 11.377 km",OLEOGASODUCTO,OPERANDO,KAB,"VPF ENLACE",10,"ACERO AL CARBON","ACEITE Y GAS",11.377
CGD0000086,PEP-SDC-GNE-AKB-P01-OLD-D0207,"OLD AKBN-P - AKB-E D207 24""  X 1.906KM",OLEODUCTO,OPERANDO,"AKAL-BN (PERFORACION)","AKAL-B (ENLACE)",24,"ACERO AL CARBON",MAYA,1.906
CGD0004894,PEP-SUR-BLJ-BCH-C73-LDD-L0067,"LDD P EDEN 67-INT P EDEN 47 10""X1.907 km","LINEA DE DESCARGA","FUERA DE OPERACION DEFINITIVA","POZO EDEN 67","INT. POZO EDEN 47",10,"ACERO AL CARBON","ACEITE Y GAS",1.907
CGD0002294,PEP-SUR-CPT-BCN-A33-LBN-D0827,"LBN RAM 2"" RBN 6""-P OGA 0827 2""X0.118 km","LINEA DE BOMBEO NEUMATICO","FUERA DE OPERACION TEMPORAL","RAMAL 2"" EN RBN 6""","POZO OGARRIO 0827",2,"ACERO AL CARBON","DULCE HUMEDO",0.118
CGD0017922,PEP-NTE-PRA-TAC-020-LDD-LT903,"LDD PLAT TAM81(LM)-PLAT TAM83 4""X0.373KM","LINEA DE DESCARGA",OPERANDO,"PLATAFORMA TAMAULIPAS 81","PLATAFORMA TAMAULIPAS 83",4,"ACERO AL CARBON","ACEITE PESADO",0.373
CGD0011128,PEP-NTE-PRA-TAC-003-LDD-LB132,"LDD P BARCOD 132-BSE BARCOD 4""X1.179 KM","LINEA DE DESCARGA",OPERANDO,"POZO BARCODON 132","BATERIA BARCODON",4,"ACERO AL CARBON","ACEITE Y GAS",1.179
CGD0014041,PEP-NTE-PRA-POZ-241-LDD-L0093,"LDD P MECAT 93-BSE PR X 4""x2.731KM","LINEA DE DESCARGA","FUERA DE OPERACION DEFINITIVA","POZO MECATEPEC 93","BSE POZA RICA X",4,"ACERO AL CARBON","NO APLICA",0.892
CGD0006105,PEP-NTE-BUR-LMA-409-LDD-L0513,"LDD ARCOS 513 - E ARCOS 3 3"" X 2.060 KM","LINEA DE DESCARGA",OPERANDO,"POZO ARCOS 513","EST. ARCOS 3",3,"ACERO AL CARBON","DULCE SECO",2.06
CGD0002537,PEP-SUR-BLJ-GPC-B59-LDD-L0105,"LDD P TUP 105-CAB TUP 117 3""X0.615 km","LINEA DE DESCARGA","FUERA DE OPERACION TEMPORAL","POZO TUPILCO 105","CABEZAL PERIFERICO TUPILCO 117",3,"ACERO AL CARBON","ACEITE Y GAS",0.615
CGD0017299,PEP-NTE-BUR-PBA-500-LDD-L0317,"LDD PALMITO317-MD PALMITO317 3""X1.259KM.","LINEA DE DESCARGA",OPERANDO,"POZO PALMITO 317","MOD. PALMITO 317(EST.PALMITO 1",3,"ACERO AL CARBON","DULCE HUMEDO",1.259
CGD0017926,PEP-NTE-PRA-TAC-005-LDD-L1110,"LDD PLAT CON 1110(LM)-B 1 CON 4""X0.603KM","LINEA DE DESCARGA",OPERANDO,"PLATAF CONSTITUCIONES 1110(LM)","BATERIA 1 CONSTITUCIONES",4,"ACERO AL CARBON","ACEITE PESADO",0.603
CGD0002863,PEP-SUR-MAC-USU-C36-LDD-L11DS,"LDD P USU 11DS-ER USU 3""X 0.788 km","LINEA DE DESCARGA","FUERA DE OPERACION DEFINITIVA","POZO USUMACINTA 11DS","EST REC USUMACINTA",3,"ACERO AL CARBON","DULCE SECO",0.788
CGD0015146,PEP-NTE-ATG-SLD-279-LDD-L0602,"LDD P SOL 602-BSE SOL II 4"" x1.350KM","LINEA DE DESCARGA",OPERANDO,"POZO SOLEDAD 602","BSE SOLEDAD II",4,"ACERO AL CARBON","ACEITE Y GAS",1.35
CGD0002856,PEP-SUR-MAC-USU-C36-LDD-L022S,"LDD P USU  22S-ER USU 3"" X 1.142 km","LINEA DE DESCARGA","FUERA DE OPERACION DEFINITIVA","POZO USUMACINTA 22S","EST REC USUMACINTA",3,"ACERO AL CARBON","DULCE HUMEDO",1.142
CGD0001842,PEP-SUR-MAC-JCO-C18-GDO-D0045,"GDO E CDG JC - CPG CPMX 6"" X 8.500 km",GASODUCTO,"FUERA DE OPERACION DEFINITIVA","CDG JC","CPG CD. PEMEX",6,"ACERO AL CARBON","GAS DULCE",8.5
CGD0012217,PEP-NTE-BUR-LMA-439-GDO-D1160,"GDO E CORINDON2-GDO16PAN/CUL 6""X4.250KM",GASODUCTO,OPERANDO,"EST. CORINDON 2","ENT. GDO.16""  PANDURA-CULEBRA",6,"ACERO AL CARBON","DULCE HUMEDO",4.25
CGD0006014,PEP-NTE-BUR-TOR-444-LDD-L0616,"LDD CUITL 616 -E CUITLAHUAC 3 3""X3.149KM","LINEA DE DESCARGA","FUERA DE OPERACION DEFINITIVA","POZO CUITLAHUAC 616","EST. CUITLAHUAC 3",3,"ACERO AL CARBON",SECO,3.149
CGD0005051,PEP-SUR-SML-LUN-B08-LDD-L001A,"LDD P PIJIJE 1A-CAB B PIJIJE 8""X0.969 km","LINEA DE DESCARGA",OPERANDO,"POZO PIJIJE 1A","CABEZAL BATERIA PIJIJE",8,"ACERO AL CARBON","ACEITE Y GAS",0.969
CGD0013321,PEP-NTE-BUR-TOR-444-LDD-L691T,"LDD CUITL 691T-E CUITLAHUAC 2 3""X1.791KM","LINEA DE DESCARGA","FUERA DE OPERACION TEMPORAL","POZO CUITLAHUAC 691","EST. CUITLAHUAC 2",3,"ACERO AL CARBON","DULCE HUMEDO",1.791
CGD0019613,PEP-NTE-BUR-RFC-664-LDD-L0010,"LDD BOCAXA 10-INT 6"" PAJE 1 3""x1.034KM","LINEA DE DESCARGA",OPERANDO,"POZO BOCAXA 10","INT. LDD 6"" PAJE 1",3,"ACERO AL CARBON",HUMEDO,2.097
CGD0001510,PEP-SUR-SML-SAM-D54-LDD-L1243,"LDD P SAM 1183-CAB F 93 6""X1.802 km","LINEA DE DESCARGA",OPERANDO,"POZO SAMARIA 1183","CABEZAL FORANEO 93",6,"ACERO AL CARBON","ACEITE Y GAS",1.802
CGD0019332,PEP-NTE-ATG-SLD-077-OLG-DP423,"OLG MP COYO 423-BSE COYO II 6"" X2.432KM",OLEOGASODUCTO,OPERANDO,"MP COYOTES 423","BSE COYOTES II",6,"ACERO AL CARBON","ACEITE Y GAS",2.432
CGD0015950,PEP-NTE-BUR-TOR-444-LDD-L0947,"LDD CUITL 947- E CUITLAHUAC 7 3""X5.355KM","LINEA DE DESCARGA",OPERANDO,"POZO CUITLAHUAC 947","EST. CUITLAHUAC 7",3,"ACERO AL CARBON","DULCE HUMEDO",5.355
CGD0010039,PEP-NTE-PRA-EPC-011-OLD-D7877,"OLD EST LIMON 13-E H2 MARLAND 6""X7.622KM",OLEODUCTO,OPERANDO,"ESTACION LIMON 13","ESTACION H2 MARLAND",6,"ACERO AL CARBON","ACEITE PESADO",7.622
CGD0008832,PEP-NTE-BUR-CUL-643-LDD-L0119,"LDD MAREOGRAFO 119-MAREOG1 3"" *0.989KM","LINEA DE DESCARGA","FUERA DE OPERACION DEFINITIVA","POZO MAREOGRAFO 119","EST. MAREOGRAFO 1",3,"ACERO AL CARBON","DULCE SECO",1.707
CGD0008871,PEP-NTE-BUR-CUL-408-LDD-L0381,"LDD ARCABUZ 381 - E ARCABUZ 7 3""X0.627KM","LINEA DE DESCARGA","FUERA DE OPERACION TEMPORAL","POZO ARCABUZ 381","EST. ARCABUZ 7",3,"ACERO AL CARBON","DULCE SECO",0.627
CGD0007275,PEP-NTE-BUR-LMA-560-LDD-L2047,"LDD VELERO 2047-E VELERO 1  3""X4.288  KM","LINEA DE DESCARGA",OPERANDO,"POZO VELERO 2047","EST. VELERO 1",3,"ACERO AL CARBON","DULCE SECO",4.288
CGD0008348,PEP-NTE-BUR-PBA-442-GDO-D5550,"GDO E4 MLP 1-GDO 10""B4-P BCA 6""X 0.287Km",GASODUCTO,OPERANDO,"EST. CUATRO MILPAS 1","ENT. GDO 10"" BENAV4 - PE?A BCA",6,"ACERO AL CARBON","DULCE HUMEDO",0.287
CGD0018255,PEP-SDC-GNT-PRA-750-OLD-D7031,"OLD REF. MADERO-TERM MAR MADERO24""x3.2KM",OLEODUCTO,OPERANDO,"CASA DE BOMBAS EXPORTACION","TERMINAL MARITIMA MADERO",24,"ACERO AL CARBON",ACEITE,3.2
CGD0001546,PEP-SUR-SML-SAM-D54-LDD-L1252,"LDD P SAM 12-CAB P SAM 35 3""X0.446 km","LINEA DE DESCARGA","FUERA DE OPERACION DEFINITIVA","POZO SAMARIA 12","CABEZAL POZO SAMARIA 35",3,"ACERO AL CARBON",TERCIARIO,0.446
CGD0001533,PEP-SUR-MAC-USU-C26-LDD-L0002,"LDD P NLI 1S-CAB BDT 4""X4.660 km","LINEA DE DESCARGA","FUERA DE OPERACION DEFINITIVA","POZO NUEVOS LIRIOS 1S","CABEZAL BOCA DEL TORO",4,"ACERO AL CARBON","GAS DULCE",4.66
CGD0007594,PEP-NTE-BUR-TOR-444-LDD-L0521,"LDD CUITLAHUAC 521-E CUITL 5 3""X0.812KM","LINEA DE DESCARGA","FUERA DE OPERACION DEFINITIVA","POZO CUITLAHUAC 521","EST. CUITLAHUAC 5",3,"ACERO AL CARBON","DULCE HUMEDO",0.812
CGD0002337,PEP-SUR-BLJ-BCH-B47-OLG-D0001,"OLG CAB CHN 1-BAT BLL 114 10""X13.781 km",OLEOGASODUCTO,OPERANDO,"CABEZAL PERIFERICO CHIN 1","BATERIA BELLOTA 114",10,"ACERO AL CARBON","ACEITE Y GAS",13.781
CGD0016021,PEP-SUR-CPT-MOG-A46-LBN-D4031,"LBN INT KM 1+600 -P SNR 0027 2""X0.089 km","LINEA DE BOMBEO NEUMATICO",OPERANDO,"INT KM 1+600","POZO SAN RAMON 0027",2,"ACERO AL CARBON","DULCE HUMEDO",0.089
CGD0000149,PEP-SDC-GSR-MUS-F55-GDO-D0248,"GDO TDE GC SITIO GDE-ARTESA 6"" X 7.500km",GASODUCTO,OPERANDO,"TDE SITIO GRANDE","TDR ARTESA",6,"ACERO AL CARBON","GAS COMBUSTIBLE",7.5
CGD0012763,PEP-NTE-BUR-LMA-557-GDO-D0108,"GDO EST TRONCON1-ENTGDO16Y24 6""x3.430KM",GASODUCTO,"FUERA DE OPERACION TEMPORAL","EST. TRONCON 1","ENT. GDO. 16""  Y 24""",6,"ACERO AL CARBON","DULCE SECO",3.43
CGD0007552,PEP-NTE-BUR-CUL-408-LDD-L0180,"LDD ARCABUZ 180-E ARCABUZ 4 3"" X 4.684KM","LINEA DE DESCARGA",OPERANDO,"POZO ARCABUZ 180","EST. ARCABUZ 4",3,"ACERO AL CARBON","DULCE HUMEDO",4.684
CGD0014560,PEP-NTE-ATG-TAJ-27B-LDD-L0121,"LDD P ALEM 121-BSE PR XVIII 4"" x2.186KM","LINEA DE DESCARGA","FUERA DE OPERACION TEMPORAL","POZO PRESIDENTE ALEMAN 121","BSE POZA RICA XVIII",4,"ACERO AL CARBON",MARFO,0.016
CGD0006977,PEP-NTE-BUR-CUE-552-LDD-L0104,"LDD  TOPO 104 - E TOPO 1  3"" X 1.025  KM","LINEA DE DESCARGA",OPERANDO,"POZO TOPO 104","EST. TOPO 1",3,"ACERO AL CARBON","DULCE HUMEDO",1.025
CGD0001755,PEP-SUR-SML-CUN-D48-LBN-D1291,"LBN CAB IRI 164 - P IRI 2154 4""X0.736 km","LINEA DE BOMBEO NEUMATICO",OPERANDO,"CABEZAL  IRIDE 164","POZO IRIDE 2154",4,"ACERO AL CARBON",SECO,0.736
CGD0000068,PEP-SDC-GNE-NHA-P04-OLG-D0005,"OLG NH B - NH A D-0005 16""   X 2.832 KM",OLEOGASODUCTO,OPERANDO,"NOHOCH-B (PERFORACION)","NOHOCH-A (PERFORACION)",16,"ACERO AL CARBON","ACEITE Y GAS",2.832
CGD0007957,PEP-NTE-ATG-TAJ-200-OLG-DP537,"OLG P COAP 537-BSE TAJIN IV 8"" x2.569KM",OLEOGASODUCTO,OPERANDO,"POZO COAPECHACA 537","BSE TAJIN IV",8,"ACERO AL CARBON","ACEITE Y GAS",2.569
CGD0006915,PEP-NTE-BUR-CUE-541-LDD-L0622,"LDD STA ROSA622-I STA ROSA506 3""X1.924KM","LINEA DE DESCARGA",OPERANDO,"POZO STA. ROSALIA 622","INT STA ROSALIA 506 (E ROSA 2)",3,"ACERO AL CARBON","DULCE HUMEDO",1.924
CGD0008097,PEP-NTE-BUR-CUL-408-LDD-L0239,"LDD ARCABUZ 239-I ARCABUZ 240 3""X0.100KM","LINEA DE DESCARGA",OPERANDO,"POZO ARCABUZ 239","INT. ARCABUZ 240",3,"ACERO AL CARBON","DULCE SECO",0.1
CGD0017556,PEP-NTE-ATG-TAJ-223-OLG-D1489,"OLG FURB 1489-BSE FURB I  8"" x4.051 KM",OLEOGASODUCTO,OPERANDO,"MP FURBERO 1489","BSE FURBERO I",8,"ACERO AL CARBON","ACEITE PESADO",4.051
CGD0018498,PEP-SUR-CPT-MOG-A33-LDD-L1433,"LDD P OGA1433-CAB OGA 827 3""X0.208 km","LINEA DE DESCARGA",OPERANDO,"POZO OGARRIO 1433","CABEZAL OGARRIO 827",3,"ACERO AL CARBON","ACEITE Y GAS",0.208
CGD0002328,PEP-SUR-BLJ-BCH-B60-LDD-L0101,"LDD P YAG 101-INT OLG10""/12"" 8""X0.115 km","LINEA DE DESCARGA","FUERA DE OPERACION TEMPORAL","POZO YAGUAL 101","INT OLG 10""/12"" YAG-CHIN",8,"ACERO AL CARBON","ACEITE Y GAS",0.115
CGD0007819,PEP-NTE-BUR-TOR-444-LDD-L1039,"LDD CUITL 1039-E CUITLAHUAC 7 3""X3.998KM","LINEA DE DESCARGA",OPERANDO,"POZO CUITLAHUAC 1039","EST. CUITLAHUAC 7",3,"ACERO AL CARBON","DULCE HUMEDO",3.998
CGD0003020,PEP-SUR-CPT-BCN-A33-LDD-L850D,"LDD P OGA 850D-CAB P OGA 827 3""X0.609 km","LINEA DE DESCARGA",OPERANDO,"POZO OGARRIO 850D","CABEZAL DEL POZO OGA 0827",3,"ACERO AL CARBON","ACEITE Y GAS",0.609
CGD0006639,PEP-NTE-BUR-CUL-408-LDD-L0119,"LDD ARCABUZ 119 - E RODEO1 3"" X 2.931 KM","LINEA DE DESCARGA","FUERA DE OPERACION TEMPORAL","POZO ARCABUZ 119","EST. RODEO 1",3,"ACERO AL CARBON","DULCE HUMEDO",2.931
CGD0019585,PEP-NTE-ATG-TAJ-282-OLD-DTJII,"OLD BSE TAJ II-ENTFOB/CABTAJ 8""x0.297KM",OLEODUCTO,OPERANDO,"BSE TAJIN II","ENT. OLD 16"" FOBOS - CAB TAJIN",8,"ACERO AL CARBON","ACEITE PESADO",0.297
CGD0018096,PEP-SUR-SML-SAM-D54-OLG-D1016,"OLG CAB SAM 837- CAB SAM 35 12""X0.443 km",OLEOGASODUCTO,OPERANDO,"CABEZAL SAMARIA 837","CABEZAL SAMARIA 35",12,"ACERO AL CARBON","ACEITE Y GAS",0.443
CGD0006366,PEP-NTE-BUR-CUL-445-LDD-L0623,"LDD CULEBRA 623- E CULEBRA 4 3""X3.596KM","LINEA DE DESCARGA",OPERANDO,"POZO CULEBRA 623","EST. CULEBRA 4",3,"ACERO AL CARBON","DULCE HUMEDO",3.596
CGD0017704,PEP-NTE-VER-ECN-753-OLG-D0081,"OLG PRG CAUCHY 81-PRG CAUCH2 10 X4.113KM",OLEOGASODUCTO,OPERANDO,"PRG CAUCHY 81","PRG CAUCHY 2",10,"ACERO AL CARBON","GAS DULCE",4.113
CGD0001810,PEP-SUR-CPT-MOG-A47-OLD-DM002,"OLD TDD PUENTE-P VENTA 215 8""X16.020 km",OLEODUCTO,"FUERA DE OPERACION DEFINITIVA","TDD EL PUENTE","POZO LA VENTA 0215",8,"ACERO AL CARBON","NO APLICA",16.02
CGD0001529,PEP-SUR-SML-SAM-D54-LDD-L0964,"LDD P SAM 43-CAB P SAM 35 3""X1.400 km","LINEA DE DESCARGA","FUERA DE OPERACION DEFINITIVA","POZO SAMARIA 43","CABEZAL POZO SAMARIA 35",3,"ACERO AL CARBON",TERCIARIO,1.4
CGD0009120,PEP-NTE-BUR-CUL-408-LDD-L0421,"LDD ARCABUZ 421-ERG ARCABNTE 3""X1.860 KM","LINEA DE DESCARGA",OPERANDO,"POZO ARCABUZ 421","ERG. ARCABUZ NTE 1",3,"ACERO AL CARBON","DULCE HUMEDO",1.86
CGD0008917,PEP-NTE-BUR-CUL-452-LDD-L0204,"LDD  DUNA 204- E DUNA 2 3"" X 5.500 KM","LINEA DE DESCARGA",OPERANDO,"POZO DUNA 204","EST. DUNA 2",3,"ACERO AL CARBON","DULCE SECO",5.5
CGD0000123,PEP-SDC-GSO-CPL-S30-OLG-D0236,"OLG SINAN-201/INT VFPSINAN101 8""X2.500KM",OLEOGASODUCTO,OPERANDO,"SINAN 201","INT. VFP SINAN 101/ENLACE",8,"ACERO AL CARBON","ACEITE Y GAS",2.5
CGD0017920,PEP-NTE-BUR-TOR-444-LDD-L0718,"LDD CUITL 718 - EST CUITL 6 3""X 3.115KM","LINEA DE DESCARGA",OPERANDO,"POZO CUITLAHUAC 718","EST. REC. GAS CUITLAHUAC 6",3,"ACERO AL CARBON","DULCE HUMEDO",3.115
CGD0002735,PEP-SUR-MAC-JCO-C18-LDD-L0055,"LDD P JC 55-ER JC 1 3"" X 1.087 km","LINEA DE DESCARGA","FUERA DE OPERACION DEFINITIVA","POZO JOSE COLOMO 55","EST. REC. JOSE COLOMO 1",3,"ACERO AL CARBON","DULCE HUMEDO",1.087
CGD0008806,PEP-NTE-BUR-LMA-560-LDD-L3210,"LDD VELERO 3210- E VELERO 4 3"" X1.797 KM","LINEA DE DESCARGA","FUERA DE OPERACION TEMPORAL","POZO VELERO 3210","EST. VELERO 4",3,"ACERO AL CARBON","DULCE SECO",1.797
CGD0014275,PEP-NTE-PRA-FJO-250-LDD-L0020,"LDD P MURO 20-BSE MURO 4""x1.379KM","LINEA DE DESCARGA",OPERANDO,"POZO MURO 20","BSE MURO",4,"ACERO AL CARBON",MURO,1.379
CGD0001972,PEP-SUR-CPT-MOG-A33-GDO-DB002,"GDO BAT OGA 02-COM OGARRIO 12""X0.877 km",GASODUCTO,OPERANDO,"BATERIA OGARRIO 2","COMPRESORAS OGARRIO",12,"ACERO AL CARBON","ACEITE Y GAS",0.877
CGD0015291,PEP-NTE-ATG-TAJ-282-LDD-L0697,"LDD P TAJ 697-BSE TAJ II 4"" x1.602KM","LINEA DE DESCARGA",OPERANDO,"POZO TAJIN 697","BSE TAJIN II",4,"ACERO AL CARBON","ACEITE PESADO",1.602
CGD0011269,PEP-NTE-PRA-TAC-005-LDD-LC231,"LDD P CONST 231-BSE 5 CONST 4""X0.416 KM","LINEA DE DESCARGA",OPERANDO,"POZO CONSTITUCIONES 231","BATERIA 5 CONSTITUCIONES",2,"ACERO AL CARBON","ACEITE Y GAS",0.416
CGD0001588,PEP-SUR-MUS-CSG-D53-LDD-L1062,"LDD P RIO NVO1062-CAB RIO NVO 6""X0.070km","LINEA DE DESCARGA","FUERA DE OPERACION DEFINITIVA","POZO RIO NUEVO 1062","CABEZAL RIO NUEVO",6,"ACERO AL CARBON","ACEITE Y GAS",0.07
CGD0016394,PEP-SUR-CPT-BCN-A33-LBN-D1407,"LBN RAM 2"" RBN 3""-P OGA 1407 2""X0.067 km","LINEA DE BOMBEO NEUMATICO","FUERA DE OPERACION TEMPORAL","RAM 2"" RBN 3""","POZO OGARRIO 1407",2,"ACERO AL CARBON","DULCE HUMEDO",0.067
CGD0007585,PEP-NTE-BUR-LMA-409-LDD-L0523,"LDD ARCOS 523 - E ARCOS 4 3"" X2.311 KM","LINEA DE DESCARGA","FUERA DE OPERACION TEMPORAL","POZO ARCOS 523","EST. ARCOS 4",3,"ACERO AL CARBON","DULCE SECO",2.311
CGD0006083,PEP-NTE-BUR-LMA-409-LDD-L0046,"LDD ARCOS 46 - E ARCOS 3  3"" X 2.513 KM","LINEA DE DESCARGA",OPERANDO,"POZO ARCOS 46","EST. ARCOS 3",3,"ACERO AL CARBON","DULCE SECO",2.513
CGD0001892,PEP-SUR-MUS-CSG-D43-ACD-D1660,"ACD CAB SUROESTE-P CACTUS 21 8""X1.154 km",ACUEDUCTO,"FUERA DE OPERACION DEFINITIVA","CABEZAL SUROESTE","POZO CACTUS 21",8,"ACERO AL CARBON","AGUA DE SERVICIO",1.154
CGD0007761,PEP-NTE-BUR-TOR-553-LDD-L0029,"LDD TORR 29-E  TORRECILLAS 1 3""X1.300 KM","LINEA DE DESCARGA","FUERA DE OPERACION DEFINITIVA","POZO TORRECILLAS 29","EST. TORRECILLAS 1",3,"ACERO AL CARBON","NO APLICA",1.3
CGD0003555,PEP-SUR-CPT-CUM-A30-LDD-L0395,"LDD P MOL 0395-CAB P MOL 111 3""X0.272 km","LINEA DE DESCARGA",OPERANDO,"POZO MOLOACAN 0395","CABEZAL POZO MOLOACAN 111",3,"ACERO AL CARBON","ACEITE Y GAS",0.272
CGD0005128,PEP-SUR-MUS-SMA-D05-LDD-L0021,"LDD P CATED 21-BAT CATED 8""X0.274 km","LINEA DE DESCARGA","FUERA DE OPERACION TEMPORAL","POZO CATEDRAL 21","BATERIA CATEDRAL",8,"ACERO AL CARBON","ACEITE Y GAS",0.274
CGD0012939,PEP-NTE-BUR-RFC-528-LDD-L246T,"LDD REYNOSA 246T-E REYNOSA 15 4""X1.823KM","LINEA DE DESCARGA","FUERA DE OPERACION DEFINITIVA","POZO REYNOSA 246T","EST. REYNOSA 15",4,"ACERO AL CARBON","NO APLICA",1.823
CGD0018791,PEP-NTE-BUR-PBA-500-LDD-L307M,"LDD MRG PALM 307-ERG PALM 3 4""X5.067 KM","LINEA DE DESCARGA",OPERANDO,"MOD.REC.GAS PALMITO 307","EST. REC. GAS PALMITO 3",4,"ACERO AL CARBON","DULCE HUMEDO",5.067
CGD0008859,PEP-NTE-BUR-CUL-424-LDD-L0029,"LDD CALABAZA 29-EST CALABAZA3 3""X3.927KM","LINEA DE DESCARGA",OPERANDO,"POZO CALABAZA 29","EST. CALABAZA 3",3,"ACERO AL CARBON","DULCE SECO",3.927
CGD0013617,PEP-NTE-PRA-POZ-215-LDD-L0209,"LDD P ESCOL 209-BSE PR XIII 4""X1.500KM","LINEA DE DESCARGA",OPERANDO,"POZO ESCOLIN 209","BSE POZA RICA XIII",4,"FIBRA DE VIDRIO","ACEITE Y GAS",1.506
CGD0015434,PEP-NTE-PRA-POZ-261-GDO-D1582,"GDO BSE PAPANT I-ENT PR XVI 10""x5.280KM",GASODUCTO,"FUERA DE OPERACION DEFINITIVA","BSE PAPANTLA I","ENTRONQUE POZA RICA XVI",10,"ACERO AL CARBON","NO APLICA",5.28
CGD0005715,PEP-SUR-SML-SAM-D54-LBN-D0830,"LBN INT PSAM1196-INT PSAM104 4""X1.004 km","LINEA DE BOMBEO NEUMATICO",OPERANDO,"INT. POZO SAMARIA 1196","INT. POZO SAMARIA 104",4,"ACERO AL CARBON",SECO,1.004
CGD0014083,PEP-NTE-ATG-SLD-246-LDD-L0030,"LDD P MIQ 30-BSE MIQ I 4"" x0.703KM","LINEA DE DESCARGA",OPERANDO,"POZO MIQUETLA 30","BSE MIQUETLA I",4,"ACERO AL CARBON","ACEITE PESADO",0.703
CGD0019117,PEP-NTE-BUR-MON-594-LDD-L0111,"LDD COUGAR 11 - MD COUGAR  1 4""X0.383KM","LINEA DE DESCARGA","FUERA DE OPERACION DEFINITIVA","POZO COUGAR 11","MOD. COUGAR 1",4,"ACERO AL CARBON","GAS AMARGO",0.383
CGD0011300,PEP-NTE-PRA-TAC-020-LDD-LT226,"LDD P TAMPS 226-BSE 5 CONSTI 4""X1.904 KM","LINEA DE DESCARGA","FUERA DE OPERACION DEFINITIVA","POZO TAMAULIPAS 226","BATERIA 5 CONSTITUCIONES",4,"ACERO AL CARBON","ACEITE Y GAS",1.904
CGD0013900,PEP-NTE-PRA-FJO-237-LDD-L0082,"LDD P JILIAP 82-BSE JILIAP II 3""x1.417KM","LINEA DE DESCARGA",OPERANDO,"POZO JILIAPA 82","BSE JILIAPA II",3,"ACERO AL CARBON","ACEITE Y GAS",1.417
CGD0017550,PEP-NTE-ATG-TAJ-223-GDO-DFURI,"GDO BSE FURB I-ENT FOBOS 8"" x0.618KM",GASODUCTO,OPERANDO,"BSE FURBERO I","ENT GDO 16""  FOBOS-TDR TAJIN",8,"ACERO AL CARBON","DULCE HUMEDO",0.618
CGD0013123,PEP-NTE-BUR-CUE-487-LDD-L014T,"LDD MOJARRE?AS 14T-E MOJ 1  2"" X2.837 KM","LINEA DE DESCARGA",OPERANDO,"POZO MOJARRE?AS 14T","EST. MOJARRE?AS 1",2,"ACERO AL CARBON","DULCE HUMEDO",2.837
CGD0018835,PEP-NTE-ATG-TAJ-27B-OLG-D8350,"OLG MP ALE 1565-ENT ALE 1814 6"" X0.13KM",OLEOGASODUCTO,OPERANDO,"MP ALEMAN 1565","ENT ALEMAN 1814",6,"ACERO AL CARBON",MARFO,0.13
CGD0011743,PEP-NTE-PRA-TAC-020-LDD-L145D,"LDD P TAMPS 145D-BSE 7 TAMPS 4""X0.696 KM","LINEA DE DESCARGA",OPERANDO,"POZO TAMAULIPAS 145D","BATERIA 7 TAMAULIPAS",4,"ACERO AL CARBON","ACEITE Y GAS",0.696
CGD0007659,PEP-NTE-BUR-CUE-510-LDD-L0202,"LDD PICADILLO 202-E PICADI 1 3""X4.174 KM","LINEA DE DESCARGA","FUERA DE OPERACION DEFINITIVA","POZO PICADILLO 202","EST. PICADILLO 1",3,"ACERO AL CARBON","DULCE HUMEDO",4.174
CGD0013568,PEP-NTE-PRA-POZ-215-LDD-L0094,"LDD P ESCOL 94-BSE PR XI 4""X1.900KM","LINEA DE DESCARGA","FUERA DE OPERACION DEFINITIVA","POZO ESCOLIN 94","BSE POZA RICA XI",4,"ACERO AL CARBON","NO APLICA",1.046
CGD0015979,PEP-SUR-CPT-CPB-A07-LBN-D0057,"LBN INT KM 0+082-P BLA 0057 2""X0.069 km","LINEA DE BOMBEO NEUMATICO",OPERANDO,"INT KM 0+082","POZO BLASILLO 0057",2,"ACERO AL CARBON","DULCE HUMEDO",0.069
CGD0007335,PEP-NTE-BUR-CUE-433-LDD-L0138,"LDD CARRET 138-E MOJARRE?AS 3 2""X3.508KM","LINEA DE DESCARGA","FUERA DE OPERACION DEFINITIVA","POZO CARRETAS 138","EST. MOJARRE?AS 3",2,"ACERO AL CARBON","DULCE HUMEDO",3.508
CGD0007385,PEP-NTE-BUR-CUL-408-LDD-L0184,"LDD ARCABUZ 184-E ARCABUZ 3 2""X2.824 KM","LINEA DE DESCARGA",OPERANDO,"POZO ARCABUZ 184","EST. ARCABUZ 3",2,"ACERO AL CARBON","DULCE HUMEDO",2.824
CGD0002428,PEP-SUR-BLJ-GPC-B49-LDD-L011D,"LDD P GPE 11D-BAT GPE 1 3""X0.250 km","LINEA DE DESCARGA","FUERA DE OPERACION TEMPORAL","POZO EL GOLPE 11D","BATERIA EL GOLPE 1",3,"ACERO AL CARBON","ACEITE Y GAS",0.25
